transaction_id,timestamp,amount,currency,merchant_category,merchant_id,customer_id,card_present,device_id,location,is_international,failed_login_attempts,velocity,ip_risk_score,transaction_type,channel,customer_age,account_tenure,geo_distance,merchant_risk_score,fraud_flag
83,2024-01-01 01:23:00,120.15573976031666,INR,Restaurants,1406,1936,0,17623.0,London,0,0,1,0.24699317865771683,POS,Web,40,7,0.11032272336742452,0.4458127338760417,0
53,2024-01-01 00:53:00,76.56252443448062,INR,Groceires,1409,610,0,15225.0,Bangalore,0,0,1,0.2854630470974421,POS,Web,55,5,5.972010958407337,0.34415863029205,0
70,2024-01-01 01:10:00,195.30388321895592,INR,Groceries,1913,4697,1,15518.0,Delhi,0,0,0,0.0896955766741498,Online,Mobile,20,13,1.065866768641914,0.1681252451180648,0
45,2024-01-01 00:45:00,86.4917742295319,INR,Electronics,1941,1650,1,18908.0,Delhi,0,1,0,0.18466638213039882,POS,Web,68,6,2.863232492752294,0.35275992406711054,0
44,2024-01-01 00:44:00,103.13467451546485,USD,Restaurants,1807,545,0,16711.0,Mumbai,0,0,1,0.09700180367066642,POS,Mobile,38,3,1.2184802683574976,0.2650419832065117,0
39,2024-01-01 00:39:00,62.57205907821278,USD,Fashion,1943,1710,0,17062.0,Mumbai,0,0,2,0.2280672041293623,POS,Web,18,14,20.419581490331048,0.2182233410753236,0
22,2024-01-01 00:22:00,128.64746363045109,INR,Groceries,1093,3939,0,18738.0,Delhi,0,1,1,0.14590210272845103,Online,Mobile,37,5,12.756962152406818,0.39615260626362586,0
80,2024-01-01 01:20:00,30.162484028102394,INR,Groceires,1293,4260,0,11852.0,Delhi,0,0,0,0.2684213491821903,POS,Mobile,23,12,1.7551351771674577,0.24327307741962403,0
10,2024-01-01 00:10:00,77.794633298974,INR,Travel,1181,341,1,12636.0,Delhi,0,0,2,0.061324013397243776,Online,Mobile,65,6,8.243414023791187,0.34992858770468127,0
0,2024-01-01 00:00:00,64.75473100513722,INR,Fashion,1685,979,0,19995.0,Bangalore,0,0,1,0.2482749151834773,POS,Web,51,8,4.2563634518376965,0.3586001523396274,0
